                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
                  CSO-0873    NiII    37.6436    83.6604    -14.361    18.16           0           0           0           0  
                  CSO-0873    SiII    37.6436    83.6604    -14.361   17.122           0           0           0           0  
                    CTS487    CII*     5.5445   -69.4435    -12.131   15.648           0           0           0           0  
                    CTS487     CIV     5.5445   -69.4435    -99.071   13.681           1           0           0           1  
                    CTS487     CIV     5.5445   -69.4435     -6.135   13.953           0           0           0           0  
                    CTS487      NV     5.5445   -69.4435    -21.125   13.193           0           0           0           0  
                    CTS487    NiII     5.5445   -69.4435    -12.131   13.731           0           0           0           0  
                    CTS487     SII     5.5445   -69.4435    -15.129   15.233           0           0           0           0  
                    CTS487    SiII     5.5445   -69.4435     56.821   12.411           0           0           0           0  
                    CTS487    SiII     5.5445   -69.4435     50.826   12.838           0           0           0           0  
                    CTS487    SiII     5.5445   -69.4435    -24.123    14.23           0           0           0           0  
                    CTS487    SiIV     5.5445   -69.4435     50.826   12.642           0           0           0           0  
                    CTS487    SiIV     5.5445   -69.4435   -108.064   12.959           1           0           0           1  
                    CTS487    SiIV     5.5445   -69.4435    -27.121   13.301           0           0           0           0  
                ESO-141-55    CII*   338.1834   -26.7112    -51.011   11.828           0           0           0           0  
                ESO-141-55    CII*   338.1834   -26.7112     35.929   13.627           0           0           0           0  
                ESO-141-55    CII*   338.1834   -26.7112    -30.025   14.117           0           0           0           0  
                ESO-141-55    CII*   338.1834   -26.7112      8.948    14.16           0           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112     68.906   13.113           0           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112    -63.003   13.543           1           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112     53.916    13.55           0           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112     35.929   13.577           0           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112    -36.021   13.768           0           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112     -95.98   13.787           1           0           0           0  
                ESO-141-55     CIV   338.1834   -26.7112     -0.046   14.313           0           0           0           0  
                ESO-141-55    FeII   338.1834   -26.7112      62.91      8.8           0           0           0           0  
                ESO-141-55    FeII   338.1834   -26.7112     14.943     9.59           0           0           0           0  
                ESO-141-55      NV   338.1834   -26.7112    -74.994   12.895           1           0           0           0  
                ESO-141-55      NV   338.1834   -26.7112     23.937   13.662           0           0           0           0  
                ESO-141-55    NiII   338.1834   -26.7112     50.919   13.401           0           0           0           0  
                ESO-141-55    NiII   338.1834   -26.7112      8.948   13.668           0           0           0           0  
                ESO-141-55     SII   338.1834   -26.7112     47.921   15.003           0           0           0           0  
                ESO-141-55     SII   338.1834   -26.7112    -27.028   15.199           0           0           0           0  
                ESO-141-55     SII   338.1834   -26.7112       5.95   15.976           0           0           0           0  
                ESO-141-55    SiII   338.1834   -26.7112    -60.005    13.11           0           0           0           0  
                ESO-141-55    SiII   338.1834   -26.7112     23.937   15.001           0           0           0           0  
